ID,Age,Income,Home_own,Emp_duration,Loan_purpose,Grade,Req_loan_amount,Yearly_int_rate,term_years,historical_default,cred_hist_length,Stats_loan
1,22,59000,RENT,1,PERSONAL,C,35000,16.02,10,Y,3,DEFAULT
3,25,9600,MORTGAGE,0.083333333,MEDICAL,B,5500,12.87,5,N,3,DEFAULT
4,23,65500,RENT,0.333333333,MEDICAL,B,35000,15.23,10,N,2,DEFAULT
5,24,54400,RENT,0.666666667,MEDICAL,B,35000,14.27,10,Y,4,DEFAULT
6,21,9900,OWN,0.166666667,VENTURE,A,2500,7.14,1,N,2,DEFAULT
10,21,10000,OWN,0.5,VENTURE,C,1600,14.74,1,N,3,DEFAULT
12,21,10000,OWN,0.166666667,HOMEIMPROVEMENT,A,4500,8.63,1,N,2,DEFAULT
14,26,108160,RENT,0.333333333,EDUCATION,D,35000,18.39,10,N,4,DEFAULT
18,23,92111,RENT,0.583333333,MEDICAL,E,35000,20.25,10,N,4,DEFAULT
19,23,113000,RENT,0.666666667,DEBTCONSOLIDATION,C,35000,18.25,10,N,4,DEFAULT
20,24,10800,MORTGAGE,0.666666667,EDUCATION,A,1750,10.99,4,N,2,DEFAULT
22,25,137000,RENT,0.75,PERSONAL,D,34800,16.77,10,Y,2,NO DEFAULT
23,22,65000,RENT,0.333333333,EDUCATION,C,34000,17.58,10,N,4,DEFAULT
24,24,10980,OWN,0,PERSONAL,A,1500,7.29,4,Y,3,NO DEFAULT
25,22,80000,RENT,0.25,PERSONAL,C,33950,14.54,10,Y,4,DEFAULT
26,24,67746,RENT,0.666666667,HOMEIMPROVEMENT,B,33000,12.68,10,N,3,DEFAULT
27,21,11000,MORTGAGE,0.25,VENTURE,D,4575,17.74,1,Y,3,DEFAULT
30,21,11389,OTHER,0.416666667,EDUCATION,B,4000,12.84,1,Y,2,DEFAULT
31,21,11520,OWN,0.416666667,MEDICAL,A,2000,11.12,1,N,3,DEFAULT
33,26,95000,RENT,0.583333333,HOMEIMPROVEMENT,B,31050,14.17,10,Y,3,DEFAULT
36,21,12000,OWN,0.416666667,EDUCATION,A,2500,7.51,1,N,4,DEFAULT
37,22,48000,RENT,0.083333333,EDUCATION,D,30000,18.39,10,N,2,DEFAULT
38,24,64000,RENT,0.666666667,DEBTCONSOLIDATION,C,30000,14.54,10,Y,3,DEFAULT
39,25,75000,RENT,0.333333333,HOMEIMPROVEMENT,C,30000,16.89,10,Y,4,DEFAULT
41,26,62050,RENT,0.5,MEDICAL,D,30000,17.99,10,N,2,DEFAULT
42,24,12000,OWN,0.333333333,VENTURE,A,2500,12.69,4,N,3,DEFAULT
44,23,300000,OWN,0.083333333,EDUCATION,E,24250,19.41,10,Y,2,NO DEFAULT
52,23,78000,RENT,0.583333333,DEBTCONSOLIDATION,E,30000,18.62,10,Y,3,DEFAULT
53,23,92004,RENT,0.5,PERSONAL,B,30000,15.23,10,Y,3,DEFAULT
54,23,97000,RENT,0.583333333,VENTURE,A,30000,10.65,10,Y,2,NO DEFAULT
56,26,280000,RENT,0.333333333,PERSONAL,B,10000,15.96,6,Y,3,NO DEFAULT
64,25,221850,MORTGAGE,0.75,MEDICAL,C,25000,15.7,10,N,2,DEFAULT
65,22,70000,RENT,0.5,EDUCATION,C,29100,15.99,10,N,3,DEFAULT
66,22,12000,MORTGAGE,0.583333333,EDUCATION,C,1500,14.84,2,Y,3,NO DEFAULT
68,25,259000,MORTGAGE,0.75,HOMEIMPROVEMENT,C,20000,14.42,10,Y,2,NO DEFAULT
73,21,12000,OWN,0.5,EDUCATION,B,3000,13.61,1,Y,3,DEFAULT
76,26,12000,OWN,0.166666667,EDUCATION,A,6100,7.51,6,N,3,DEFAULT
78,21,12000,OWN,0,PERSONAL,B,4200,13.48,1,Y,4,DEFAULT
79,22,12000,OWN,0.5,DEBTCONSOLIDATION,A,4750,7.14,2,N,2,DEFAULT
80,24,83004,RENT,0,VENTURE,C,28000,15.99,10,Y,4,DEFAULT
81,24,250000,RENT,0.166666667,EDUCATION,B,18000,12.98,10,Y,3,NO DEFAULT
89,21,12000,MORTGAGE,0.416666667,DEBTCONSOLIDATION,D,3250,15.68,1,Y,3,DEFAULT
90,22,70000,RENT,0.333333333,EDUCATION,B,27500,13.06,10,Y,3,DEFAULT
92,26,73200,RENT,0.416666667,VENTURE,C,27050,15.62,10,Y,2,DEFAULT
93,24,83000,RENT,0.416666667,PERSONAL,B,27000,13.49,10,Y,2,DEFAULT
99,25,234000,MORTGAGE,0.25,MEDICAL,B,20000,14.27,10,Y,4,NO DEFAULT
102,25,221004,MORTGAGE,0.5,DEBTCONSOLIDATION,C,11900,14.42,10,Y,3,DEFAULT
103,26,232500,MORTGAGE,0,MEDICAL,B,25000,14.17,10,Y,2,NO DEFAULT
108,21,42500,RENT,0.25,EDUCATION,B,25000,12.73,10,Y,3,DEFAULT
110,25,12816,OWN,0,DEBTCONSOLIDATION,B,3000,12.87,5,Y,4,DEFAULT
111,24,12960,MORTGAGE,0.083333333,HOMEIMPROVEMENT,A,3650,9.91,4,N,3,DEFAULT
113,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,D,30000,19.91,10,Y,2,NO DEFAULT
114,26,213000,MORTGAGE,0.5,EDUCATION,A,35000,10.65,10,N,2,DEFAULT
116,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,A,4500,11.83,4,N,4,DEFAULT
117,23,12996,OWN,0,DEBTCONSOLIDATION,B,2400,13.49,3,Y,2,DEFAULT
118,22,42000,RENT,0.5,MEDICAL,C,25000,14.59,10,Y,2,DEFAULT
119,26,48000,RENT,0.166666667,EDUCATION,B,25000,9.64,10,N,4,DEFAULT
120,25,12996,OWN,0.083333333,MEDICAL,C,3600,14.59,5,N,3,DEFAULT
122,25,42360,RENT,0.083333333,EDUCATION,D,25000,16.35,10,Y,3,DEFAULT
123,21,49000,RENT,0.333333333,EDUCATION,B,25000,10.99,10,N,2,DEFAULT
128,22,49464,RENT,0.416666667,PERSONAL,B,25000,11.83,10,N,3,DEFAULT
130,25,50000,RENT,0.333333333,HOMEIMPROVEMENT,A,25000,5.99,10,N,2,DEFAULT
131,24,44000,RENT,0.166666667,DEBTCONSOLIDATION,C,25000,15.33,10,N,2,DEFAULT
132,23,50000,RENT,0.083333333,VENTURE,A,25000,11.83,10,Y,4,NO DEFAULT
134,22,50004,RENT,0.25,VENTURE,B,25000,12.23,10,N,3,DEFAULT
136,23,13200,OWN,0.25,DEBTCONSOLIDATION,A,4950,7.9,3,N,4,DEFAULT
140,26,216000,MORTGAGE,0.833333333,EDUCATION,B,20000,14.22,10,Y,2,NO DEFAULT
141,23,215000,MORTGAGE,0.583333333,MEDICAL,B,35000,14.79,10,Y,3,NO DEFAULT
143,23,52000,RENT,0.083333333,PERSONAL,B,25000,13.22,10,N,2,DEFAULT
144,26,46000,RENT,0.166666667,DEBTCONSOLIDATION,C,25000,11.86,10,N,4,DEFAULT
145,22,53000,RENT,0.416666667,EDUCATION,B,25000,13.43,10,Y,4,DEFAULT
146,26,47000,RENT,0,HOMEIMPROVEMENT,C,25000,15.28,10,Y,2,DEFAULT
147,23,47000,RENT,0.083333333,VENTURE,D,25000,17.93,10,N,2,DEFAULT
149,21,13200,OWN,0,VENTURE,B,4500,12.98,1,N,4,DEFAULT
152,26,48000,RENT,0.416666667,VENTURE,E,25000,18.43,10,N,2,DEFAULT
156,23,55000,RENT,0.333333333,EDUCATION,C,25000,15.65,10,Y,3,DEFAULT
157,24,55164,RENT,0.666666667,PERSONAL,B,25000,13.22,10,Y,4,DEFAULT
158,26,56000,RENT,0.333333333,DEBTCONSOLIDATION,B,25000,12.87,10,N,2,DEFAULT
160,23,190000,MORTGAGE,0.416666667,EDUCATION,E,22000,17.58,10,Y,3,DEFAULT
161,23,13920,OWN,0.166666667,PERSONAL,D,7750,17.04,3,N,4,DEFAULT
162,24,60000,RENT,0,PERSONAL,A,25000,10.99,10,N,3,DEFAULT
163,24,60000,RENT,0.166666667,PERSONAL,A,25000,11.11,10,N,3,DEFAULT
164,26,54000,RENT,0.583333333,DEBTCONSOLIDATION,C,25000,14.83,10,Y,2,DEFAULT
169,25,54000,RENT,0.25,HOMEIMPROVEMENT,D,25000,16.82,10,N,4,DEFAULT
170,23,60000,RENT,0.25,PERSONAL,B,25000,12.73,10,N,3,DEFAULT
171,23,60000,RENT,0.583333333,PERSONAL,A,25000,10.25,10,N,4,DEFAULT
172,21,60000,RENT,0.5,EDUCATION,A,25000,10.99,10,N,4,DEFAULT
173,25,61959,RENT,0.75,MEDICAL,B,25000,12.73,10,N,2,DEFAULT
174,22,56400,RENT,0.166666667,HOMEIMPROVEMENT,C,25000,14.96,10,Y,3,DEFAULT
177,24,200000,MORTGAGE,0.25,VENTURE,A,24000,7.49,10,Y,4,NO DEFAULT
181,24,66000,RENT,0.25,EDUCATION,A,25000,9.91,10,N,2,DEFAULT
182,22,66000,RENT,0.5,EDUCATION,B,25000,13.06,10,Y,3,DEFAULT
191,26,66996,RENT,0.833333333,PERSONAL,C,25000,15.21,10,Y,2,DEFAULT
192,23,67000,RENT,0.25,EDUCATION,A,25000,7.9,10,N,4,DEFAULT
193,24,67000,RENT,0.166666667,VENTURE,A,25000,10.99,10,N,3,DEFAULT
194,24,68000,RENT,0.416666667,PERSONAL,C,25000,14.09,10,Y,3,DEFAULT
195,25,69000,RENT,0.75,PERSONAL,C,25000,17.49,10,N,2,DEFAULT
197,26,188000,MORTGAGE,0.833333333,VENTURE,D,20000,17.74,10,N,2,DEFAULT
199,25,69996,RENT,0.75,EDUCATION,C,25000,15.21,10,N,3,DEFAULT
200,22,14400,OWN,0.166666667,MEDICAL,A,4000,10.99,2,Y,3,DEFAULT
201,24,70000,RENT,0.25,EDUCATION,A,25000,11.86,10,N,4,DEFAULT
202,24,14400,OWN,0.416666667,PERSONAL,A,6000,7.49,4,N,3,DEFAULT
203,24,56100,RENT,0.583333333,MEDICAL,C,25000,16.49,10,N,4,DEFAULT
204,25,66000,RENT,0.75,VENTURE,C,25000,15.33,10,Y,2,DEFAULT
205,26,66000,RENT,0.25,HOMEIMPROVEMENT,A,25000,11.58,10,N,4,DEFAULT
206,25,14400,OWN,0.583333333,EDUCATION,A,5375,5.79,5,N,2,DEFAULT
207,25,72612,RENT,0.75,MEDICAL,B,25000,13.11,10,N,2,DEFAULT
208,23,74000,RENT,0.25,MEDICAL,A,25000,10.36,10,N,3,DEFAULT
209,25,75000,RENT,0.75,DEBTCONSOLIDATION,A,25000,10.36,10,Y,2,DEFAULT
215,24,75000,RENT,0.333333333,EDUCATION,A,25000,10.25,10,N,4,DEFAULT
216,22,71000,RENT,0.083333333,EDUCATION,C,25000,15.95,10,Y,4,DEFAULT
220,23,78000,RENT,0.083333333,VENTURE,A,25000,10.62,10,N,3,DEFAULT
221,23,78504,RENT,0.583333333,VENTURE,A,25000,10.74,10,N,3,DEFAULT
225,24,62050,RENT,0.666666667,MEDICAL,C,25000,15.33,10,Y,2,DEFAULT
226,23,79416,RENT,0.583333333,VENTURE,C,25000,15.21,10,Y,2,DEFAULT
227,21,14400,OWN,0.333333333,VENTURE,B,6250,14.72,1,N,2,DEFAULT
228,24,79631,RENT,0.666666667,PERSONAL,C,25000,15.7,10,Y,2,DEFAULT
229,24,79632,RENT,0,EDUCATION,B,25000,13.35,10,N,4,DEFAULT
231,24,80000,RENT,0.5,EDUCATION,A,25000,6.62,10,N,2,DEFAULT
232,26,80000,RENT,0.416666667,DEBTCONSOLIDATION,B,25000,13.61,10,N,4,DEFAULT
235,24,184992,RENT,0.583333333,HOMEIMPROVEMENT,C,22000,14.46,10,Y,4,NO DEFAULT
